jobs;5;705;12588.3;25767;0.0005026999861001968;0.010705630003940314;0.0215962000656873
jobs;10;2262;9026.8;21441;0.008314200094901025;0.04005468002287671;0.09886579995509237
jobs;20;7147;16816.9;26460;0.18023559998255223;0.471114060014952;0.7775956999976188
jobs;30;1726;17159.1;30451;0.03115940000861883;1.5095806900179014;2.9494489000644535
jobs;40;4728;18285.7;30846;0.49347109999507666;3.5503754799836313;6.4007569999666885
jobs;50;3608;21746.1;31858;0.4152243999997154;8.016077619988938;12.971978900022805
machines;5;564;1561.7;2391;0.0008469000458717346;0.03303343998268247;0.08644069998990744
machines;10;1110;1781.2;3196;0.002892600023187697;0.052792760008014736;0.2582459000404924
machines;20;1685;2650.8888888888887;3898;0.004500900045968592;0.14526384446718213;0.4332171999849379
machines;30;1828;3465.6666666666665;4466;0.002460299991071224;0.2266393555716301;0.5669211000204086
machines;40;3236;4180.125;5325;0.0389263000106439;0.3616813624976203;1.0345730000408366
machines;50;2860;4531.555555555556;5915;0.002624399960041046;0.34707633334781146;1.101825200021267
