jobs;5;716;12673.3;25796;0.014146699919365346;0.10707298000343143;0.2317880999762565
jobs;10;2440;9303.7;21729;0.021062099956907332;0.06799709999468177;0.1726283000316471
jobs;20;7627;17516.2;27179;0.04498619993682951;0.12994235001970084;0.2260368000715971
jobs;30;2040;18082.8;31661;0.014042899943888187;0.1352266400004737;0.28333000000566244
jobs;40;5347;19355.2;32128;0.024661900009959936;0.138836060045287;0.26000940008088946
jobs;50;4258;23080.1;33565;0.016855800058692694;0.1632956600165926;0.2669607000425458
machines;5;609;1725.5;2566;0.012621499947272241;0.013700899994000792;0.016744700027629733
machines;10;1210;2026.6;3724;0.013717900030314922;0.015137869981117547;0.01711819996125996
machines;20;1841;2974.0;4479;0.017406600061804056;0.019898544440770313;0.022803999949246645
machines;30;1885;3860.6666666666665;5163;0.020140300039201975;0.02409376665794601;0.026201499975286424
machines;40;3520;4674.875;6081;0.023159699980169535;0.025613862497266382;0.02754599996842444
machines;50;2910;5025.777777777777;6748;0.025491900043562055;0.02763748888133301;0.032630200032144785
